,ts_code,trade_date,close,open,high,low,change,vol,amount
14,600391.SH,20180228,17.93,18.0,18.9,13.7,-0.06,84348494.0,1360021688.0
15,600391.SH,20180131,17.99,19.8,20.88,17.92,-1.72,66847683.0,1300268984.0
0,300424.SZ,20190430,16.27,20.6,22.12,15.93,-4.49,101196975.0,1998040956.32
1,300424.SZ,20190329,20.76,22.0,24.5,18.18,-0.4,233688861.0,4837333081.93
2,300424.SZ,20190228,21.16,13.57,21.16,13.57,7.52,40420124.0,674709857.98
3,300424.SZ,20190131,13.64,14.16,16.18,13.21,-0.3,56332145.0,835395171.84
4,300424.SZ,20181228,13.94,17.9,17.9,13.82,-3.5,37085968.0,584648945.37
5,300424.SZ,20181130,17.44,15.74,18.45,15.67,1.75,33169449.0,568671728.77
6,300424.SZ,20181031,15.69,18.21,18.8,14.96,-3.16,19434415.0,317925731.98
7,300424.SZ,20180928,18.85,20.18,22.1,18.61,-1.8,19194387.0,389366476.02
8,300424.SZ,20180831,20.65,21.64,22.45,20.01,-1.15,13554803.0,288067668.44
9,300424.SZ,20180731,21.8,19.4,25.09,19.2,2.38,35214583.0,782345984.94
10,300424.SZ,20180629,19.42,23.6,23.69,16.8,-3.98,29581217.0,577636006.1
11,300424.SZ,20180531,23.4,25.61,26.72,22.0,-2.21,35460947.0,890959518.72
12,300424.SZ,20180427,25.61,28.3,30.3,24.9,-2.44,69090378.0,1909176181.11
13,300424.SZ,20180330,28.05,22.25,29.89,20.7,4.62,53064493.0,1384826982.59
0,000768.SZ,20190430,15.92,17.23,17.97,15.82,-1.13,461508098.0,7934772932.61
1,000768.SZ,20190329,17.05,16.25,18.85,15.8,0.83,844489459.0,14361505888.34
2,000768.SZ,20190228,16.22,13.98,16.75,13.86,2.33,391128960.0,6041918820.07
3,000768.SZ,20190131,13.89,13.32,14.44,13.15,0.65,227197369.0,3183654933.65
4,000768.SZ,20181228,13.24,15.21,15.39,13.18,-1.75,208194712.0,2977721445.12
5,000768.SZ,20181130,14.99,14.81,16.06,14.6,0.19,317876630.0,4860138917.27
6,000768.SZ,20181031,14.8,15.69,16.1,13.29,-1.08,312595416.0,4630271319.28
7,000768.SZ,20180928,15.88,15.3,17.07,15.1,0.58,435192237.0,7056202360.26
8,000768.SZ,20180831,15.3,16.8,16.84,14.06,-1.4,359453751.0,5388675039.52
9,000768.SZ,20180731,16.7,15.58,17.45,14.98,1.06,453307695.0,7336569548.03
10,000768.SZ,20180629,15.64,15.72,16.23,13.55,-0.22,339553941.0,5141280964.98
11,000768.SZ,20180531,15.86,18.51,19.28,15.61,-2.61,445653299.0,7784739137.27
12,000768.SZ,20180427,18.47,17.39,20.29,17.19,1.29,670133861.0,12503838917.04
13,000768.SZ,20180330,17.18,14.69,17.63,14.51,2.39,654744660.0,10568821123.73
14,000768.SZ,20180228,14.79,15.7,15.82,12.35,-0.91,253843318.0,3573530168.91
15,000768.SZ,20180131,15.7,16.89,17.36,15.21,-1.19,314895718.0,5156389959.72
0,300159.SZ,20190430,5.54,6.87,7.45,5.39,-1.15,671168180.0,4382108806.53
1,300159.SZ,20190329,6.69,5.83,7.05,5.67,0.83,949378793.0,6042935599.93
2,300159.SZ,20190228,5.86,4.57,6.3,4.57,1.29,405396867.0,2236148811.96
3,300159.SZ,20190131,4.57,4.63,5.6,4.45,-0.04,391397433.0,1973582345.55
4,300159.SZ,20181228,4.61,5.7,5.9,4.57,-0.94,291946656.0,1509403391.77
5,300159.SZ,20181130,5.55,5.67,6.55,5.39,-0.06,293537328.0,1760446273.37
6,300159.SZ,20181031,5.61,7.46,7.61,5.25,-2.03,314383828.0,1962480136.01
7,300159.SZ,20180928,7.64,7.29,7.97,6.65,0.3,191275943.0,1419614126.81
8,300159.SZ,20180831,7.34,8.18,8.23,7.12,-0.8,183066419.0,1382024488.58
